Frequency
56
0
32
0
28
0
16
0
127
0
62
0
110
0
81
0
71
0
45
0
44
0
34
0
171
0
119
0
179
0
116
0
39
0
34
0
19
0
17
0
104
0
56
0
104
0
71
0
35
0
31
0
21
0
149
0
106
0
136
115
0
33
0
23
0
20
0
12
0
103
0
71
0
93
0
83
0
41
0
22
0
22
0
22
0
146
0
103
0
154
0
116
0
14
0
14
0
11
0
8
0
74
0
50
0
81
0
49
0
34
0
16
0
18
17
0
106
0
77
0
92
0
80
42
0
29
0
20
0
15
0
117
0
73
0
97
0
61
0
43
0
26
0
31
0
23
146
0
105
0
136
0
98
0
45
0
22
0
16
0
11
0
109
0
60
0
76
52
0
35
0
33
0
14
140
0
108
114
0
94
0
33
0
27
0
17
0
10
0
90
0
65
0
89
0
78
0
40
0
31
0
22
0
19
184
0
124
0
137
112
0
18
0
9
0
17
0
6
0
64
0
54
0
61
47
23
0
21
0
10
11
112
0
70
0
110
73
0
0
70
0
42
0
28
0
21
0
110
0
78
0
127
0
82
0
81
0
57
0
46
0
31
0
183
0
124
0
163
0
115
0
51
0
30
0
24
0
22
0
96
0
65
0
85
0
81
0
58
0
46
0
39
0
16
0
150
0
106
0
160
0
113
28
0
36
0
25
0
15
0
93
0
68
0
99
0
97
0
47
0
27
0
37
0
24
0
157
0
109
0
141
0
131
0
21
0
13
0
24
7
0
0
65
0
51
81
0
63
0
36
0
24
0
18
0
11
95
0
80
113
0
90
38
0
30
0
25
0
17
112
0
74
0
106
0
71
53
0
49
0
28
0
16
0
169
0
92
0
164
0
95
0
36
0
35
23
25
0
103
0
0
0
0
72
91
71
57
0
31
0
29
27
0
139
0
98
126
80
39
0
21
0
15
7
101
0
76
0
102
0
68
0
46
0
28
29
0
17
0
166
0
97
175
0
118
24
0
0
11
18
0
8
53
67
0
78
0
41
0
13
0
19
0
21
0
14
0
106
0
61
103
0
61
31
0
22
0
14
0
11
0
114
0
74
0
97
0
78
0
50
0
36
0
37
0
18
0
157
0
113
0
173
0
132
0
